Tabela 7178 - Pessoas de 14 anos ou mais de idade que estudam até o ensino fundamental (regular ou EJA) e aquelas que frequentaram no máximo o ensino médio ou curso equivalente sem o completar, por cor ou raça e frequência a curso de qualificação profissional	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
Variável - Pessoas de 14 anos ou mais de idade que estudam até o ensino fundamental (regular ou EJA) e aquelas que frequentaram no máximo o ensino médio ou curso equivalente sem o completar (Mil pessoas)															
Grande Região	Frequência a curso de qualificação profissional	Ano x Cor ou raça													
		2016		2017		2018		2019		2022		2023		2024	
		Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda	Branca	Preta ou parda
Norte	Frequenta curso de qualificação profissional	13	64	11	48	9	31	7	33	9	45	9	26	10	38
	Não frequenta curso de qualificação profissional	1055	5555	1053	5564	1016	5610	959	5569	1051	5357	1024	5375	1008	5148
Nordeste	Frequenta curso de qualificação profissional	31	118	22	81	18	59	18	70	18	71	14	61	15	85
	Não frequenta curso de qualificação profissional	5162	19449	4987	19581	4842	19211	4801	18931	4995	17932	4865	17679	4675	17444
Sudeste	Frequenta curso de qualificação profissional	118	158	69	144	80	122	92	100	103	142	91	134	89	152
	Não frequenta curso de qualificação profissional	13396	16613	12908	16816	12291	16921	12069	16681	11722	15548	11626	15556	11059	15571
Sul	Frequenta curso de qualificação profissional	111	44	81	37	66	33	56	39	90	46	79	38	65	43
	Não frequenta curso de qualificação profissional	8556	3035	8380	3284	8110	3412	7632	3457	7363	3441	7223	3461	6893	3462
Centro-Oeste	Frequenta curso de qualificação profissional	26	48	24	50	12	32	11	30	18	39	20	44	15	45
	Não frequenta curso de qualificação profissional	1758	3942	1686	4014	1726	3937	1678	3832	1593	3705	1534	3608	1457	3543
Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre															
