Tabela 7211 - Viagens realizadas pelos moradores dos domicílios no período de referência dos últimos três meses, por tipo de viagem	Unnamed: 1	Unnamed: 2
Variável - Viagens realizadas pelos moradores dos domicílios (Mil unidades)		
Unidade da Federação	Ano x Tipo de viagem	
	2019	
	Viagem nacional	Viagem internacional
Rondônia	123	2
Acre	57	2
Amazonas	228	3
Roraima	39	1
Pará	995	8
Amapá	36	0
Tocantins	198	1
Maranhão	498	2
Piauí	554	2
Ceará	748	14
Rio Grande do Norte	386	7
Paraíba	252	3
Pernambuco	610	16
Alagoas	166	2
Sergipe	279	3
Bahia	1558	31
Minas Gerais	2853	45
Espírito Santo	375	11
Rio de Janeiro	1195	99
São Paulo	4123	360
Paraná	1257	54
Santa Catarina	619	23
Rio Grande do Sul	1385	69
Mato Grosso do Sul	298	4
Mato Grosso	325	4
Goiás	713	14
Distrito Federal	265	21
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2019 (3º trimestre), a partir de 2020 (acumulado de segundas visitas).		
